"filename", "language", "Ignore", "TypeScript", "JSON", "JSON with Comments", "YAML", "Markdown", "Shell Script", "Docker", "TypeScript JSX", "PostCSS", "HTML", "PowerShell", "JavaScript", "MS SQL", "Rust", "WebAssembly Text Format", "XML", "comment", "blank", "total"
"c:\Users\chris\Desktop\sandbox\.dockerignore", "Ignore", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\chris\Desktop\sandbox\.github\workflows\ci.yml", "YAML", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 61
"c:\Users\chris\Desktop\sandbox\.github\workflows\deploy-digitalocean.yml", "YAML", 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 120
"c:\Users\chris\Desktop\sandbox\.github\workflows\release.yml", "YAML", 0, 0, 0, 0, 319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 328
"c:\Users\chris\Desktop\sandbox\README.md", "Markdown", 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 121
"c:\Users\chris\Desktop\sandbox\agents\server\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 19
"c:\Users\chris\Desktop\sandbox\agents\server\packaging\build-release.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 54
"c:\Users\chris\Desktop\sandbox\agents\server\src\client.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 269, 0, 0, 0, 20, 289
"c:\Users\chris\Desktop\sandbox\agents\server\src\config.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 245, 0, 0, 0, 3, 248
"c:\Users\chris\Desktop\sandbox\agents\server\src\identity.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 5, 97
"c:\Users\chris\Desktop\sandbox\agents\server\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\chris\Desktop\sandbox\agents\server\src\main.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 0, 0, 0, 7, 185
"c:\Users\chris\Desktop\sandbox\agents\server\src\pairing.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 3, 134
"c:\Users\chris\Desktop\sandbox\agents\server\src\runner.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 571, 0, 0, 0, 17, 588
"c:\Users\chris\Desktop\sandbox\apps\docs\AGENTS.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 10
"c:\Users\chris\Desktop\sandbox\apps\docs\CLAUDE.md", "Markdown", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\chris\Desktop\sandbox\apps\docs\app\[[...slug]]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 135
"c:\Users\chris\Desktop\sandbox\apps\docs\app\developers\api\reference\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
